ID, IRI, NOTATION, PREF_LABEL, DEFINITION
1, "http://linked.data.gov.au/def/sample-type/blasted-sample", "BLSAMP", "Blasted Sample", "Sample collected by drilling and blasting"
2, "http://linked.data.gov.au/def/sample-type/bulk-cyanide-leach-sample", "BCL", "Bulk Cyanide Leach Sample", "Sample collected to test for extraction by bulk cyanide leach process"
3, "http://linked.data.gov.au/def/sample-type/borehole-cement", "BHCM", "Borehole Cement", "The cement used to bind casing to the wall of a well or bore, for borehole integrity"
4, "http://linked.data.gov.au/def/sample-type/channel-sample", "CSAMP", "Channel Sample", "A sample composed of pieces of vein or mineral deposit that have been cut out of a small trench or channel, usually about 10 cm wide and 2 cm deep"
5, "http://linked.data.gov.au/def/sample-type/composited-core", "CCO", "Composited Core", "Core combined from various sources to create a representative sample"
6, "http://linked.data.gov.au/def/sample-type/composited-cuttings", "CCU", "Composited Cuttings", "Cuttings combined from various sources to create a representative sample"
7, "http://linked.data.gov.au/def/sample-type/continuous-channel-sample", "CCSAMP", "Continuous Channel Sample", "A composite channel sample taken from multiple points within a channel"
8, "http://linked.data.gov.au/def/sample-type/core", "CORE", "Core", "A core sample is a cylindrical section of (usually) a naturally occurring substance"
9, "http://linked.data.gov.au/def/sample-type/cuttings", "CUT", "Cuttings", "Cuttings are the small pieces of rock that are chipped away by the bit while a well is being drilled"
10, "http://linked.data.gov.au/def/sample-type/deviation-log", "DVLG", "Deviation Log", "A file containing information such as aziumth and inclination or positional offset to describe the downhole geometry of a borehole"
11, "http://linked.data.gov.au/def/sample-type/drill-spoil", "DSPOIN", "Drill Spoil", "Undifferentiated material generated during drilling"
12, "http://linked.data.gov.au/def/sample-type/drill-stem-test", "DSTEM", "Drill Stem Test", "Test for pressure, permeability and production capabity of a reservoir"
13, "http://linked.data.gov.au/def/sample-type/feather-and-wedge-sample", "FWSAMP", "Feather & Wedge Sample", "Sample collected by drilling and feathers and wedges"
14, "http://linked.data.gov.au/def/sample-type/float", "FLOAT", "Float", "Loose rock collected at the surface"
15, "http://linked.data.gov.au/def/sample-type/hand-sample", "HAND", "Hand Sample", "Representative sample collected from outcrop usually by geopick"
16, "http://linked.data.gov.au/def/sample-type/hyperspectral-scan", "HYSN", "Hyperspectral Scan", "A composite image comprised of multiple wavelength bands across the electromagnetic spectrum"
17, "http://linked.data.gov.au/def/sample-type/macrofossil", "MACFOS", "Macrofossil", "Macrofossils collected for identification"
18, "http://linked.data.gov.au/def/sample-type/microfossil", "MICFOS", "Microfossil", "Sample collected to be processed for microfossil extraction"
19, "http://linked.data.gov.au/def/sample-type/ore-sample", "ORE", "Ore Sample", "Representative sample of ore sampled as a specimen or for analysis"
20, "http://linked.data.gov.au/def/sample-type/oriented-or-orientation-sample", "ORIENT", "Oriented Or Orientation Sample", "A sample collected as a known reference for the orientation of other samples"
21, "http://linked.data.gov.au/def/sample-type/oriented-sample", "OSAMP", "Oriented Sample", "Sample collected with orientation recorded for detailed structural geology analysis"
22, "http://linked.data.gov.au/def/sample-type/pan-concentrate", "PCON", "Pan Concentrate", "Stream sediment that has been panned to concentrate heavy minerals"
23, "http://linked.data.gov.au/def/sample-type/petrophysical-log", "PETL", "Petrophysical Log", "A digital file or image containing physical and chemical measurements from the logging of a borehole"
24, "http://linked.data.gov.au/def/sample-type/photograph", "PHGR", "Photograph", "An image created by light falling on a photosensitive surface, usually photographic film or an electronic image sensor, such as a CCD or a CMOS chip"
25, "http://linked.data.gov.au/def/sample-type/powdered-chip", "PCHIP", "Powdered Chip", "A rock chip sample that has subsequently been powdered"
26, "http://linked.data.gov.au/def/sample-type/random-dump-sample", "RDSAMP", "Random Dump Sample", "Sample collected from mine dump at random"
27, "http://linked.data.gov.au/def/sample-type/random-sample", "RSAMP", "Random Sample", "A randomly collected sample"
28, "http://linked.data.gov.au/def/sample-type/rock-chips", "CHIP", "Rock Chips", "Sample gathered as rock chips for geochemistry"
29, "http://linked.data.gov.au/def/sample-type/scree", "SCREE", "Scree", "Loose rock collected downslope from a ridge"
30, "http://linked.data.gov.au/def/sample-type/selected-dump-sample", "SDSAMP", "Selected Dump Sample", "Sample collected from mine dump with suspected mineralisation"
31, "http://linked.data.gov.au/def/sample-type/selected-sample", "SEL", "Selected Sample", "A sample that was specifically selected for analysis"
32, "http://linked.data.gov.au/def/sample-type/side-wall-core", "SWC", "Side Wall Core", "A core taken from the side of the borehole, usually by a wireline tool"
33, "http://linked.data.gov.au/def/sample-type/sieved-stream-sediment-sample", "SSS", "Sieved Stream Sediment Sample", "Stream sediment that has been sieved to break it up into different grainsize fractions"
34, "http://linked.data.gov.au/def/sample-type/sledge-hammer-sample", "SHSAMP", "Sledge Hammer Sample", "Representative sample collected from outcrop by sledgehammer"
35, "http://linked.data.gov.au/def/sample-type/soil-sample", "SOIL", "Soil Sample", "Sample of soil taken from an exposure or auger sample"
36, "http://linked.data.gov.au/def/sample-type/stream-sediment-sample", "STRSED", "Stream Sediment Sample", "Sample of sediment from active streams"
37, "http://linked.data.gov.au/def/sample-type/suspended-silt-sample", "SUSP", "Suspended Silt Sample", "A water sample containing suspended sediment"
38, "http://linked.data.gov.au/def/sample-type/termite-mound", "TMOUND", "Termite Mound", "Sample collected from termite mounds"
39, "http://linked.data.gov.au/def/sample-type/trench-spoil", "TSPOIL", "Trench Spoil", "Undifferentiated material generated from sampling within a trench or pit"
40, "http://linked.data.gov.au/def/sample-type/unspecified", "UNSP", "Unspecified", "An unknown or unspecified sample"
41, "http://linked.data.gov.au/def/sample-type/video", "VIDO", "video", "An moving image created by light falling on a series of photosensitive surfaces, usually videographic film or an electronic image sensor, such as a CCD or a CMOS chip"
42, "http://linked.data.gov.au/def/sample-type/water-specimen", "WTRS", "Water specimen", "A generic specimen of water of any type. Includes water specimen types collected by any method"
43, "http://linked.data.gov.au/def/sample-type/wellhead", "WHEAD", "Wellhead", "Component at surface that provides structural and pressure interface"
44, "http://linked.data.gov.au/def/sample-type/image-log", "IMLG", "Image Log", "A petrophysical log comprised of multiple directional measurements around the circumference of a wellbore to create an image detailing variation of properties around the borehole"
45, "http://linked.data.gov.au/def/sample-type/drill-fluid", "DLFD", "Drill Fluid", "Fluid used for drill bit lubrication and return of ground rock material from the drill bit"
46, "http://linked.data.gov.au/def/sample-type/core-plug", "PLUG", "Core Plug", "A plug, or sample, taken from a core sample for analysis"
47, "http://linked.data.gov.au/def/sample-type/crushed-rock", "CRUSH", "Crushed Rock", "A sample of rock that has been artificially crushed, milled, or ground"
48, "http://linked.data.gov.au/def/sample-type/polished-block", "PBLK", "Polished Block", "Rock samples that are bonded in epoxy and polished as small round blocks for reflected light microscopy"
49, "http://linked.data.gov.au/def/sample-type/boxed-core", "BOXCORE", "Boxed Core", "A part of a core sample which has been broken into shorter lengths and placed into boxes or trays for ease of storage"
50, "http://linked.data.gov.au/def/sample-type/pulp", "PULP", "Pulp", "A rock sample that has been pulverised sample to a very fine powder and homogenised to be representative of a parent sample, or interval. "
51, "http://linked.data.gov.au/def/sample-type/thin-section", "THINS", "Thin Section", "A laboratory preparation of a rock, mineral, soil, pottery, bones, or even metal sample for use with a polarizing petrographic microscope, electron microscope and electron microprobe. A thin sliver of rock is cut from the sample with a diamond saw and ground optically flat. It is then mounted on a glass slide and then ground smooth using progressively finer abrasive grit until the sample is only 30 Î¼m thick. "
52, "http://linked.data.gov.au/def/sample-type/hcore", "HCORE", "Half Core", "A core sample that has been cut in half parallel to its length"
53, "http://linked.data.gov.au/def/sample-type/qcore", "QCORE", "Quarter Core", "A core sample that has been cut in quarters parallel to its length"
54, "http://linked.data.gov.au/def/sample-type/pallet-core", "PALCORE", "Palletised Core", "A collection of core samples, typically boxed, placed on a pallet for the purpose of movement, storage, and logistics"
55, "http://linked.data.gov.au/def/sample-type/paleomagnetic-sample", "PMAG", "Paleomagnetic Sample", "Orientated hand-drill sample for paleomagnetic analysis"
56, "http://linked.data.gov.au/def/sample-type/georesource-process-input", "GPM", "Georesource Process Material", "Material feed for a mine processing plant or other refining facility that produced benefacted products. Feed may as mined or a blend of input materials with different attributes"
57, "http://linked.data.gov.au/def/sample-type/georesource-product", "GP", "Georesource Product", "The resource mined or material produced via a mine processing plant or other refining facility that is the final product"
58, "http://linked.data.gov.au/def/sample-type/georesource-raw-material", "GRM", "Georesource Raw Material", "The raw resource of interest in mining or processing"
59, "http://linked.data.gov.au/def/sample-type/waste-rock", "WR", "Waste Rock", "The rock removed during mining to reach resource")